storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP131984,IKE,1984,9,4228009.810521841,0.0273559655111336,5,0.0260416666666666,7,0.0296610169491525,4228009.810521841,5,7,11,0.0959077200196586,0.1428571428571428,0.1470588235294117,0.1153177412554926,51
WP021994,OWEN,1994,9,3345235.9369101524,0.0216442636175965,4,0.0208333333333333,10,0.0423728813559322,3345235.9369101524,4,10,24,0.0758829723711734,0.2040816326530612,0.1176470588235294,0.1141972504094988,52
WP221959,GILDA,1959,10,5182431.059165284,0.0335312384956021,5,0.0260416666666666,4,0.0169491525423728,5182431.059165284,5,4,12,0.117557709021082,0.0816326530612244,0.1470588235294117,0.1130016122073671,53
WP012020,VONGFONG,2020,11,3751868.474121392,0.0242752474994155,4,0.0208333333333333,8,0.0338983050847457,3751868.474121392,4,8,16,0.0851069811312017,0.1632653061224489,0.1176470588235294,0.1095275740328627,54
WP151951,WANDA,1951,12,4752854.2294109315,0.0307518010141901,4,0.0208333333333333,5,0.0211864406779661,4752854.2294109315,4,5,13,0.1078132343955778,0.1020408163265306,0.1176470588235294,0.1078452035425087,55
WP221960,KIT,1960,8,4588749.446650982,0.0296900142685157,3,0.015625,6,0.0254237288135593,4588749.446650982,3,6,17,0.1040906991451486,0.1224489795918367,0.088235294117647,0.1063019585026954,56
WP231987,NINA,1987,5,3252355.382171631,0.0210433101274322,3,0.015625,9,0.0381355932203389,3252355.382171631,3,9,8,0.0737760798523897,0.1836734693877551,0.088235294117647,0.1034193093760196,57
WP031962,HOPE,1962,14,5182431.059165284,0.0335312384956021,5,0.0260416666666666,2,0.0084745762711864,5182431.059165284,5,2,18,0.117557709021082,0.0408163265306122,0.1470588235294117,0.102797530574714,58
WP222011,NALGAE,2011,5,5056686.14024961,0.0327176468013499,4,0.0208333333333333,3,0.0127118644067796,5056686.14024961,4,3,10,0.1147053247983097,0.0612244897959183,0.1176470588235294,0.1017763761514948,59
WP101946,OPAL,1946,7,5056686.14024961,0.0327176468013499,4,0.0208333333333333,3,0.0127118644067796,5056686.14024961,4,3,8,0.1147053247983097,0.0612244897959183,0.1176470588235294,0.1017763761514948,60
WP292019,KAMMURI,2019,6,4588749.446650982,0.0296900142685157,3,0.015625,5,0.0211864406779661,4588749.446650982,3,5,12,0.1040906991451486,0.1020408163265306,0.088235294117647,0.1011999176863688,61
WP211953,CORA,1953,18,3358329.158587277,0.021728979059774,2,0.0104166666666666,9,0.0381355932203389,3358329.158587277,2,9,19,0.0761799776041414,0.1836734693877551,0.0588235294117647,0.1004498833211883,62
WP181970,KATE,1970,10,2892722.77664423,0.0187164240523328,2,0.0104166666666666,10,0.0423728813559322,2892722.77664423,2,10,20,0.0656182124900608,0.2040816326530612,0.0588235294117647,0.0992148650690665,63
WP021978,OLIVE,1978,3,3345235.9369101524,0.0216442636175965,5,0.0260416666666666,6,0.0254237288135593,3345235.9369101524,5,6,18,0.0758829723711734,0.1224489795918367,0.1470588235294117,0.098200851850075,64
WP252006,UTOR,2006,11,5326844.791516423,0.0344656206892528,2,0.0104166666666666,3,0.0127118644067796,5326844.791516423,2,3,13,0.1208335746008777,0.0612244897959183,0.0588235294117647,0.0966297966212709,65
WP351993,LOLA,1993,9,1559242.347495079,0.0100885716431934,3,0.015625,12,0.0508474576271186,1559242.347495079,3,12,12,0.0353696857879087,0.2448979591836734,0.088235294117647,0.0956815953863106,66
WP201947,CATHY,1947,3,3696377.917110026,0.0239162138566791,2,0.0104166666666666,7,0.0296610169491525,3696377.917110026,2,7,13,0.0838482393013373,0.1428571428571428,0.0588235294117647,0.0948467587068528,67
WP211947,DORA,1947,16,1856706.7371480763,0.0120132184507498,3,0.015625,11,0.0466101694915254,1856706.7371480763,3,11,18,0.04211733602459,0.2244897959183673,0.088235294117647,0.0946281447119928,68
